"","x"
"1","https://stackoverflow.com/questions/5963269/how-to-make-a-great-r-reproducible-example"
"2","https://stackoverflow.com/questions/1299871/how-to-join-merge-data-frames-inner-outer-left-right"
"3","https://stackoverflow.com/questions/5890584/how-to-reshape-data-from-long-to-wide-format"
"4","https://stackoverflow.com/questions/9508518/why-are-these-numbers-not-equal"
"5","https://stackoverflow.com/questions/3505701/grouping-functions-tapply-by-aggregate-and-the-apply-family"
"6","https://stackoverflow.com/questions/17499013/how-do-i-make-a-list-of-data-frames"
"7","https://stackoverflow.com/questions/1660124/how-to-sum-a-variable-by-group"
"8","https://stackoverflow.com/questions/2185252/reshaping-data-frame-from-wide-to-long-format"
"9","https://stackoverflow.com/questions/3418128/how-to-convert-a-factor-to-an-integer-numeric-without-a-loss-of-information"
"10","https://stackoverflow.com/questions/1296646/how-to-sort-a-dataframe-by-columns"
"11","https://stackoverflow.com/questions/19226816/how-can-i-view-the-source-code-for-a-function"
"12","https://stackoverflow.com/questions/25721884/how-should-i-deal-with-package-xxx-is-not-available-for-r-version-x-y-z-wa"
"13","https://stackoverflow.com/questions/13773770/split-comma-separated-column-into-separate-rows"
"14","https://stackoverflow.com/questions/1727772/quickly-reading-very-large-tables-as-dataframes-in-r"
"15","https://stackoverflow.com/questions/18222286/dynamically-select-data-frame-columns-using-and-a-vector-of-column-names"
"16","https://stackoverflow.com/questions/5208679/order-bars-in-ggplot2-bar-graph"
"17","https://stackoverflow.com/questions/8091303/simultaneously-merge-multiple-data-frames-in-a-list"
"18","https://stackoverflow.com/questions/9723208/aggregate-summarize-multiple-variables-per-group-i-e-sum-mean-etc"
"19","https://stackoverflow.com/questions/4350440/split-a-column-of-a-data-frame-to-multiple-columns"
"20","https://stackoverflow.com/questions/21982987/mean-per-group-in-a-data-frame"
"21","https://stackoverflow.com/questions/3099219/plot-with-2-y-axes-one-y-axis-on-the-left-and-another-y-axis-on-the-right"
"22","https://stackoverflow.com/questions/15933958/collapse-concatenate-aggregate-a-column-to-a-single-comma-separated-string-w"
"23","https://stackoverflow.com/questions/9860090/why-is-better-than-subset"
"24","https://stackoverflow.com/questions/9617348/reshape-three-column-data-frame-to-matrix-long-to-wide-format"
"25","https://stackoverflow.com/questions/1169456/the-difference-between-and-notations-for-accessing-the-elements-of-a-lis"
"26","https://stackoverflow.com/questions/1195826/drop-factor-levels-in-a-subsetted-data-frame"
"27","https://stackoverflow.com/questions/6242955/converting-year-and-month-yyyy-mm-format-to-a-date"
"28","https://stackoverflow.com/questions/5812493/adding-leading-zeros-using-r"
"29","https://stackoverflow.com/questions/7027288/error-could-not-find-function-in-r"
"30","https://stackoverflow.com/questions/12466493/reshaping-multiple-sets-of-measurement-columns-wide-format-into-single-columns"
"31","https://stackoverflow.com/questions/4862178/remove-rows-with-nas-missing-values-in-data-frame"
"32","https://stackoverflow.com/questions/7854433/finding-all-duplicate-rows-including-elements-with-smaller-subscripts"
"33","https://stackoverflow.com/questions/16596515/aggregating-by-unique-identifier-and-concatenating-related-values-into-a-string"
"34","https://stackoverflow.com/questions/2275896/is-rs-apply-family-more-than-syntactic-sugar"
"35","https://stackoverflow.com/questions/10225098/understanding-exactly-when-a-data-table-is-a-reference-to-vs-a-copy-of-another"
"36","https://stackoverflow.com/questions/2908822/speed-up-the-loop-operation-in-r"
"37","https://stackoverflow.com/questions/11322801/transpose-reshape-dataframe-without-timevar-from-long-to-wide-format"
"38","https://stackoverflow.com/questions/11433432/importing-multiple-csv-files-into-r"
"39","https://stackoverflow.com/questions/16573995/subset-by-group-with-data-table"
"40","https://stackoverflow.com/questions/7549694/adding-regression-line-equation-and-r2-on-graph"
"41","https://stackoverflow.com/questions/24480031/roll-join-with-start-end-window"
"42","https://stackoverflow.com/questions/7735647/replacing-nas-with-latest-non-na-value"
"43","https://stackoverflow.com/questions/6644997/showing-data-values-on-stacked-bar-chart-in-ggplot2"
"44","https://stackoverflow.com/questions/12925063/numbering-rows-within-groups-in-a-data-frame"
"45","https://stackoverflow.com/questions/1741820/assignment-operators-in-r-and"
"46","https://stackoverflow.com/questions/1358003/tricks-to-manage-the-available-memory-in-an-r-session"
"47","https://stackoverflow.com/questions/13294952/left-align-two-graph-edges-ggplot"
"48","https://stackoverflow.com/questions/4605206/drop-data-frame-columns-by-name"
"49","https://stackoverflow.com/questions/7355187/error-in-if-while-condition-missing-value-where-true-false-needed"
"50","https://stackoverflow.com/questions/27721008/how-do-i-deal-with-special-characters-like-in-my-regex"
"51","https://stackoverflow.com/questions/16275149/does-ifelse-really-calculate-both-of-its-vectors-every-time-is-it-slow"
"52","https://stackoverflow.com/questions/9809166/count-number-of-rows-within-each-group"
"53","https://stackoverflow.com/questions/6053620/calculate-group-mean-or-other-summary-stats-and-assign-to-original-data"
"54","https://stackoverflow.com/questions/6558921/r-boolean-operators-and"
"55","https://stackoverflow.com/questions/2547402/is-there-a-built-in-function-for-finding-the-mode"
"56","https://stackoverflow.com/questions/1474081/how-do-i-install-an-r-package-from-source"
"57","https://stackoverflow.com/questions/12193779/how-to-write-trycatch-in-r"
"58","https://stackoverflow.com/questions/6675066/ggplots-qplot-does-not-execute-on-sourcing"
"59","https://stackoverflow.com/questions/3777174/plotting-two-variables-as-lines-using-ggplot2-on-the-same-graph"
"60","https://stackoverflow.com/questions/1169539/linear-regression-and-group-by-in-r"
"61","https://stackoverflow.com/questions/4227223/r-list-to-data-frame"
"62","https://stackoverflow.com/questions/7069076/split-column-at-delimiter-in-data-frame"
"63","https://stackoverflow.com/questions/13649979/what-specifically-are-the-dangers-of-evalparse"
"64","https://stackoverflow.com/questions/1523126/how-to-read-data-when-some-numbers-contain-commas-as-thousand-separator"
"65","https://stackoverflow.com/questions/3253641/change-the-order-of-a-discrete-x-scale"
"66","https://stackoverflow.com/questions/11562656/calculate-mean-per-group-mean-by-group"
"67","https://stackoverflow.com/questions/13967063/remove-duplicated-rows"
"68","https://stackoverflow.com/questions/11308367/error-in-my-code-object-of-type-closure-is-not-subsettable"
"69","https://stackoverflow.com/questions/2851327/convert-a-list-of-data-frames-into-one-data-frame"
"70","https://stackoverflow.com/questions/2894775/replicate-each-row-of-data-frame-and-specify-the-number-of-replications-for-each"
"71","https://stackoverflow.com/questions/11996135/create-a-sequential-number-counter-for-rows-within-each-group-of-a-dataframe"
"72","https://stackoverflow.com/questions/19253820/how-to-implement-coalesce-efficiently-in-r"
"73","https://stackoverflow.com/questions/1395528/scraping-html-tables-into-r-data-frames-using-the-xml-package"
"74","https://stackoverflow.com/questions/743812/calculating-moving-average"
"75","https://stackoverflow.com/questions/2679193/how-to-name-variables-on-the-fly"
"76","https://stackoverflow.com/questions/2641653/pass-a-data-frame-column-name-to-a-function"
"77","https://stackoverflow.com/questions/1686569/filtering-a-data-frame"
"78","https://stackoverflow.com/questions/25925556/gather-multiple-sets-of-columns"
"79","https://stackoverflow.com/questions/7450600/count-number-of-observations-rows-per-group-and-add-result-to-data-frame"
"80","https://stackoverflow.com/questions/9028662/predict-maybe-im-not-understanding-it"
"81","https://stackoverflow.com/questions/8161836/how-do-i-replace-na-values-with-zeros-in-an-r-dataframe"
"82","https://stackoverflow.com/questions/2261079/how-to-trim-leading-and-trailing-whitespace-in-r"
"83","https://stackoverflow.com/questions/5171593/memory-management-cannot-allocate-vector-of-size-n-mb"
"84","https://stackoverflow.com/questions/3402371/combine-two-data-frames-by-rows-rbind-when-they-have-different-sets-of-columns"
"85","https://stackoverflow.com/questions/3057341/how-to-use-rs-ellipsis-feature-when-writing-your-own-function"
"86","https://stackoverflow.com/questions/3318333/split-a-vector-into-chunks-in-r"
"87","https://stackoverflow.com/questions/3494593/shading-a-kernel-density-plot-between-two-points"
"88","https://stackoverflow.com/questions/25889234/error-unexpected-symbol-input-string-constant-numeric-constant-special-in-my-co"
"89","https://stackoverflow.com/questions/12064202/using-aggregate-to-apply-several-functions-on-several-variables-in-one-call"
"90","https://stackoverflow.com/questions/11105131/cannot-install-r-forge-package-using-install-packages"
"91","https://stackoverflow.com/questions/4442518/general-suggestions-for-debugging-in-r"
"92","https://stackoverflow.com/questions/30738974/rjava-load-error-in-rstudio-r-after-upgrading-to-osx-yosemite"
"93","https://stackoverflow.com/questions/11952706/generate-a-dummy-variable"
"94","https://stackoverflow.com/questions/15303283/how-to-do-vlookup-and-fill-down-like-in-excel-in-r"
"95","https://stackoverflow.com/questions/2851015/convert-data-frame-columns-from-factors-to-characters"
"96","https://stackoverflow.com/questions/1743698/evaluate-expression-given-as-a-string"
"97","https://stackoverflow.com/questions/10349206/add-legend-to-ggplot2-line-plot"
"98","https://stackoverflow.com/questions/5788117/only-read-limited-number-of-columns"
"99","https://stackoverflow.com/questions/3695497/show-instead-of-counts-in-charts-of-categorical-variables"
"100","https://stackoverflow.com/questions/26291988/how-to-create-a-lag-variable-within-each-group"
"101","https://stackoverflow.com/questions/13559076/convert-continuous-numeric-values-to-discrete-categories-defined-by-intervals"
"102","https://stackoverflow.com/questions/8197559/emulate-ggplot2-default-color-palette"
"103","https://stackoverflow.com/questions/3443687/formatting-decimal-places-in-r"
"104","https://stackoverflow.com/questions/1815606/rscript-determine-path-of-the-executing-script"
"105","https://stackoverflow.com/questions/3932038/plot-a-legend-outside-of-the-plotting-area-in-base-graphics"
"106","https://stackoverflow.com/questions/17421776/how-to-add-count-of-unique-values-by-group-to-r-data-frame"
"107","https://stackoverflow.com/questions/3302356/how-to-split-a-data-frame"
"108","https://stackoverflow.com/questions/18487109/create-counter-with-multiple-variables"
"109","https://stackoverflow.com/questions/1189759/expert-r-users-whats-in-your-rprofile"
"110","https://stackoverflow.com/questions/2564258/plot-two-graphs-in-same-plot-in-r"
"111","https://stackoverflow.com/questions/5352099/how-to-disable-scientific-notation-in-r"
"112","https://stackoverflow.com/questions/12409960/ggplot2-annotate-outside-of-plot"
"113","https://stackoverflow.com/questions/16129902/explain-a-lazy-evaluation-quirk"
"114","https://stackoverflow.com/questions/13566562/add-id-column-by-group"
"115","https://stackoverflow.com/questions/28702960/find-complement-of-a-data-frame-anti-join"
"116","https://stackoverflow.com/questions/15376075/cluster-analysis-in-r-determine-the-optimal-number-of-clusters"
"117","https://stackoverflow.com/questions/6099243/read-an-excel-file-directly-from-a-r-script"
